stock_id,date,margin_bal,short_bal
2524,2026-07-23,3190.0,0.0
2527,2026-07-23,4986.0,18.0
2528,2026-07-23,6546.0,0.0
2530,2026-07-23,6728.0,6.0
2534,2026-07-23,12007.0,60.0
2535,2026-07-23,298.0,8.0
2536,2026-07-23,5449.0,0.0
2537,2026-07-23,3776.0,1.0
2538,2026-07-23,2490.0,0.0
2539,2026-07-23,2110.0,0.0
2540,2026-07-23,2741.0,7.0
2542,2026-07-23,5482.0,348.0
2543,2026-07-23,10753.0,32.0
2545,2026-07-23,2754.0,0.0
2546,2026-07-23,68.0,0.0
2547,2026-07-23,9599.0,0.0
2548,2026-07-23,2094.0,5.0
2597,2026-07-23,167.0,0.0
2601,2026-07-23,409.0,0.0
2603,2026-07-23,15322.0,243.0
2605,2026-07-23,14597.0,15.0
2606,2026-07-23,2956.0,7.0
2607,2026-07-23,834.0,1.0
2608,2026-07-23,1414.0,1.0
2609,2026-07-23,33938.0,308.0
2610,2026-07-23,51740.0,96.0
2611,2026-07-23,2026.0,1.0
2612,2026-07-23,1817.0,0.0
2613,2026-07-23,2071.0,14.0
2614,2026-07-23,5581.0,1.0
2615,2026-07-23,17068.0,253.0
2616,2026-07-23,497.0,0.0
2617,2026-07-23,2309.0,5.0
2618,2026-07-23,28290.0,444.0
2630,2026-07-23,6226.0,240.0
2633,2026-07-23,1775.0,99.0
2634,2026-07-23,28834.0,647.0
2636,2026-07-23,631.0,21.0
2637,2026-07-23,2598.0,45.0
2642,2026-07-23,599.0,3.0
2645,2026-07-23,3126.0,26.0
2646,2026-07-23,3867.0,76.0
